Dataset,Type,Lang,file,vowel,prec,foll,start,end,F1,F2,MD,Alignment,Transcript,Linguistic,Formant,Fine,BG Music?,BG Other?,Poor Audio?,Coartic?,Hi Voice,Describe,Notes
wild,outlier,hau,B01___01_Matthew_____HAUCLVN2DA_00027,u,SIL,w,9.96,10.14,968.23,2171.97,141.792,Target Overlap,X Sounds,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,prec:[z],
wild,outlier,hau,B01___06_Matthew_____HAUCLVN2DA_00043,u,k,SIL,0.81,0.93,548.11,1794.81,15.928,Broad,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,
wild,outlier,hau,B01___07_Matthew_____HAUCLVN2DA_00025,a,d,ɡ,1.89,1.95,292.13,2006.11,15.275,Target Overlap,,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,foll:[g],music very faint
wild,outlier,hau,B01___10_Matthew_____HAUCLVN2DA_00031,a,SIL,o,7.05,7.23,850.46,1958.82,21.335,Target Overlap,X Sounds,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,foll:[b],
wild,outlier,hau,B01___10_Matthew_____HAUCLVN2DA_00031,a,j,k,3.15,3.24,382.36,2134.18,16.856,,,Change,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,ɪ; prec:[j],
wild,outlier,hau,B01___13_Matthew_____HAUCLVN2DA_00023,a,j,k,2.49,2.55,333.08,2062.21,15.492,,,Change,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,ɪ; prec:[j],
wild,outlier,hau,B01___13_Matthew_____HAUCLVN2DA_00047,e,n,SIL,7.8,7.92,249.18,1395.91,26.166,Broad,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,
wild,outlier,hau,B01___13_Matthew_____HAUCLVN2DA_00074,a,ɡ,SIL,1.38,1.44,456.91,2175.03,17.685,Broad,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,
wild,outlier,hau,B01___14_Matthew_____HAUCLVN2DA_00004,a,d,SIL,2.52,2.58,373.81,2084.92,15.132,,,Change,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,ɪ,
wild,outlier,hau,B01___19_Matthew_____HAUCLVN2DA_00007,a,ɡ,b,0.6,0.66,335.97,998.95,15.323,Target Overlap,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
wild,outlier,hau,B01___21_Matthew_____HAUCLVN2DA_00014,o,h,s,5.61,5.76,611.69,1074.6,13.913,,,,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,,,
wild,outlier,hau,B01___22_Matthew_____HAUCLVN2DA_00004,i,a,k,0.81,0.87,359.18,666.33,26.714,Target Overlap,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,
wild,outlier,hau,B01___24_Matthew_____HAUCLVN2DA_00038,e,k,SIL,0.99,1.11,335.17,2507.23,14.409,Target Overlap,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
wild,outlier,hau,B01___25_Matthew_____HAUCLVN2DA_00002,o,ɡ,SIL,8.16,8.25,261.52,684.43,19.678,,,Change,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,u,
wild,outlier,hau,B02___07_Mark________HAUCLVN2DA_00009,a,n,n,3.54,3.57,887.49,1843.51,19.406,Broad,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,
wild,outlier,hau,B02___09_Mark________HAUCLVN2DA_00016,i,ɽ,SIL,5.58,5.67,1562.81,1713.57,367.088,Target Overlap,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,
wild,outlier,hau,B02___09_Mark________HAUCLVN2DA_00024,i,ʃ,SIL,0.78,0.81,632.52,1592.67,15.861,Broad,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,
wild,outlier,hau,B02___11_Mark________HAUCLVN2DA_00016,i,a,u,2.64,2.73,1056.4,2410.76,138.643,Target Overlap,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,
wild,outlier,hau,B02___12_Mark________HAUCLVN2DA_00050,i,t͡ʃ,w,9.27,9.3,328.73,993.33,15.366,,,Change,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,u; foll:[w],
wild,outlier,hau,B02___14_Mark________HAUCLVN2DA_00038,a,ɡ,t͡ʃ,1.59,1.65,218.96,1384.97,14.565,Target Overlap,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,
wild,outlier,hau,B03___02_Luke________HAUCLVN2DA_00010,a,m,k,7.08,7.14,380.55,863.71,17.683,Target Overlap,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,
wild,outlier,hau,B03___02_Luke________HAUCLVN2DA_00044,u,s,SIL,3.27,3.3,962.61,2024.72,134.226,,X Sounds,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,
wild,outlier,hau,B03___06_Luke________HAUCLVN2DA_00047,i,a,SIL,2.85,2.88,586.32,1249.51,13.911,Broad,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
wild,outlier,hau,B03___06_Luke________HAUCLVN2DA_00079,a,j,k,5.43,5.52,557.47,2120.73,15.786,Broad,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,
wild,outlier,hau,B03___08_Luke________HAUCLVN2DA_00022,i,ʃ,SIL,6.81,6.93,745.45,1753.22,34.234,Broad,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,
wild,outlier,hau,B03___08_Luke________HAUCLVN2DA_00023,i,t͡ʃ,n,4.35,4.38,306.09,1082.26,13.825,Broad,,Change,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,ə,foll: [n]
wild,outlier,hau,B03___09_Luke________HAUCLVN2DA_00030,u,k,ɸ,2.04,2.25,609.46,1655.98,22.173,Target Overlap,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
wild,outlier,hau,B03___10_Luke________HAUCLVN2DA_00045,a,m,s,1.05,1.11,523.02,645.43,20.962,Target Overlap,,Change,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,ə,
wild,outlier,hau,B03___11_Luke________HAUCLVN2DA_00030,u,k,ɸ,4.02,4.17,1168.37,2121.86,238.926,Target Overlap,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,
wild,outlier,hau,B03___11_Luke________HAUCLVN2DA_00053,a,d,SIL,4.47,4.5,426.62,788.44,18.36,,,Change,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,oʊ,vowel in the next syllable is rounded
wild,outlier,hau,B03___13_Luke________HAUCLVN2DA_00006,a,d,ɡ,2.52,2.61,287.63,2172.75,21.28,Target Overlap,,Change,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,e,foll: [g]
wild,outlier,hau,B03___14_Luke________HAUCLVN2DA_00010,a,ɡ,w,0.9,0.93,460.3,852.3,14.005,Target Overlap,,Change,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,ə,prec: [g]/ foll: [w]
wild,outlier,hau,B03___15_Luke________HAUCLVN2DA_00020,i,ɽ,n,1.59,1.62,501.6,938.48,15.743,Target Overlap,,Change,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,ə,foll: [n]
wild,outlier,hau,B03___21_Luke________HAUCLVN2DA_00013,o,ɽ,SIL,1.11,1.23,456.37,2029.11,26.465,Target Overlap,,Change,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,u,
wild,outlier,hau,B03___22_Luke________HAUCLVN2DA_00047,a,k,SIL,1.8,1.83,1021.18,1974.86,37.398,Broad,,Change,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,ə,prec: [k]
wild,outlier,hau,B03___22_Luke________HAUCLVN2DA_00072,u,k,l,0.15,0.24,646.43,1073.66,23.008,Target Overlap,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
wild,outlier,hau,B03___23_Luke________HAUCLVN2DA_00024,i,j,ɡ,3.63,3.69,730.41,1990.29,34.237,,,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,,"F1 too high, F2 too low"
wild,outlier,hau,B04___01_John________HAUCLVN2DA_00039,u,k,m,7.86,7.92,742.06,2206.83,64.827,Broad,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,,
wild,outlier,hau,B04___12_John________HAUCLVN2DA_00023,a,t,ɸ,1.26,1.32,995.98,2005.83,36.299,Target Overlap,,Change,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,ə,
wild,outlier,hau,B04___14_John________HAUCLVN2DA_00033,i,ʃ,n,3.3,3.39,623.26,1893.06,15.864,,,Change,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,e,
wild,outlier,hau,B04___17_John________HAUCLVN2DA_00002,u,d,a,4.98,5.01,679.03,1462.65,32.24,,,Deletion,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,folloing [a] is changed
wild,outlier,hau,B04___18_John________HAUCLVN2DA_00005,u,k,m,12.48,12.57,621.73,1600.22,23.316,Target Overlap,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
wild,outlier,hau,B04___19_John________HAUCLVN2DA_00017,a,m,SIL,2.85,2.94,431.84,2106.14,14.92,,,Change,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,e,foll: [j]; partially transcribed as SIL
wild,outlier,hau,B04___19_John________HAUCLVN2DA_00032,u,ɽ,b,0.81,0.87,575.16,1496.51,14.701,Target Overlap,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
wild,outlier,hau,B04___19_John________HAUCLVN2DA_00039,u,m,SIL,4.26,4.29,721.94,1390.86,40.944,,X Transcript,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,
wild,outlier,hau,B05___07_Acts________HAUCLVN2DA_00037,i,ʃ,SIL,7.71,7.8,712.44,2222.36,35.643,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,F1 too low
wild,outlier,hau,B05___07_Acts________HAUCLVN2DA_00061,a,j,j,0.39,0.45,627.68,2057.63,14.521,Target Overlap,,Change,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,ʌ,prec: [j] & foll: [j]
wild,outlier,hau,B05___08_Acts________HAUCLVN2DA_00013,a,j,k,3.69,3.78,394.73,2165.72,17.94,,,Change,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,e,prec: [j]
wild,outlier,hau,B05___08_Acts________HAUCLVN2DA_00052,a,ɸ,ɽ,2.4,2.46,894.05,2042.03,28.618,Broad,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
wild,outlier,hau,B05___11_Acts________HAUCLVN2DA_00036,a,b,b,10.26,10.32,399.84,931.46,13.917,,,Change,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,u,
wild,outlier,hau,B05___21_Acts________HAUCLVN2DA_00019,a,m,b,9.09,9.12,278.04,884.25,24.037,,,Deletion,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,?not sure if the vowel is present
wild,outlier,hau,B05___25_Acts________HAUCLVN2DA_00031,i,a,SIL,0.45,0.51,798.03,1791.02,45.382,Target Overlap,,Change,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,e,prec: [a]
wild,outlier,hau,B05___25_Acts________HAUCLVN2DA_00032,u,s,k,9.3,9.36,966.87,1977.73,134.481,Target Overlap,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,
wild,outlier,hau,B05___27_Acts________HAUCLVN2DA_00005,u,m,a,1.65,1.68,604.05,1077.14,16.041,Target Overlap,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
wild,outlier,hau,B06___02_Romans______HAUCLVN2DA_00014,i,a,SIL,4.11,4.14,762.66,1429.12,36.947,,X Transcript,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,?seperated by SIL
wild,outlier,hau,B06___03_Romans______HAUCLVN2DA_00043,i,ʃ,SIL,9.78,9.93,1100.61,2087.54,143.789,,,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,,
wild,outlier,hau,B06___09_Romans______HAUCLVN2DA_00046,e,n,SIL,10.74,11.04,621.92,1582.69,17.569,Target Overlap,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
wild,outlier,hau,B06___09_Romans______HAUCLVN2DA_00055,a,d,d,1.95,2.01,182.2,1440,16.897,Target Overlap,,Change,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,ə,
wild,outlier,hau,B06___10_Romans______HAUCLVN2DA_00017,a,b,s,2.7,2.79,387.38,885.79,16.374,,,Change,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,ə,(following consonant is wrong -> [g])
wild,outlier,hau,B06___15_Romans______HAUCLVN2DA_00017,u,k,k,5.79,5.88,310.57,2228.09,15.805,,,Change,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,y,prec: [k[ & foll: [k] (or [ui]?)
wild,outlier,hau,B07___06_1CorinthiansHAUCLVN2DA_00025,o,a,i,1.11,1.2,243.92,1160.13,23.242,Target Overlap,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,?missed consonants?
wild,outlier,hau,B07___09_1CorinthiansHAUCLVN2DA_00011,a,j,k,1.2,1.26,433.68,2105.94,14.891,,,Change,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,e,prec: [j]
wild,outlier,hau,B07___10_1CorinthiansHAUCLVN2DA_00022,i,d͡ʒ,k,6.06,6.09,213.61,1306.15,15.398,Target Overlap,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
wild,outlier,hau,B07___11_1CorinthiansHAUCLVN2DA_00009,e,n,SIL,2.7,2.82,654.96,1798.14,27.866,,,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,,beep gives false formant
wild,outlier,hau,B07___14_1CorinthiansHAUCLVN2DA_00031,u,s,t͡ʃ,12.48,12.57,189.97,1455.31,13.998,,,Change,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,ə,
wild,outlier,hau,B07___15_1CorinthiansHAUCLVN2DA_00013,a,j,k,6.18,6.27,346.94,2188.16,19.958,Broad,,Change,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,e,prec: [j]
wild,outlier,hau,B07___15_1CorinthiansHAUCLVN2DA_00074,u,k,m,6.63,6.69,537.34,2010.01,19.467,Broad,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
wild,outlier,hau,B07___16_1CorinthiansHAUCLVN2DA_00004,u,ɽ,ʃ,9.24,9.27,1929.76,3207.37,946.221,,,Deletion,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
wild,outlier,hau,B07___16_1CorinthiansHAUCLVN2DA_00030,e,ɽ,SIL,2.43,2.55,814.37,1784.61,79.076,Target Overlap,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,
wild,outlier,hau,B08___02_2CorinthiansHAUCLVN2DA_00007,e,ɸ,SIL,5.43,5.52,644.77,1784.12,25.166,Target Overlap,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
wild,outlier,hau,B08___07_2CorinthiansHAUCLVN2DA_00026,u,ɸ,ʃ,1.62,1.86,650.03,1593.94,28.343,Broad,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,
wild,outlier,hau,B08___08_2CorinthiansHAUCLVN2DA_00025,a,d,u,3.12,3.15,391.91,912.11,15.082,,,Change,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,o,foll: [u] ([a] & [u] combined?)
wild,outlier,hau,B08___13_2CorinthiansHAUCLVN2DA_00014,a,j,k,6.3,6.36,382.82,2264.81,22.711,,,Change,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,e,prec: [j]
wild,outlier,hau,B09___04_Galatians___HAUCLVN2DA_00047,u,ɽ,b,0.39,0.45,771.54,1213.72,51.79,Target Overlap,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,
wild,outlier,hau,B11___02_Philippians_HAUCLVN2DA_00036,i,ɸ,j,1.44,1.53,998.99,1984.56,104.259,Target Overlap,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,
wild,outlier,hau,B12___04_Colossians__HAUCLVN2DA_00007,i,ʃ,SIL,6.81,6.93,829.58,2409.85,67.139,,,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,,beep gives false formant
wild,outlier,hau,B15___04_1Timothy____HAUCLVN2DA_00008,u,n,w,1.59,1.65,647.07,1315.56,24.376,Target Overlap,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
wild,outlier,hau,B15___06_1Timothy____HAUCLVN2DA_00013,i,t͡ʃ,k,1.47,1.5,735.05,2102.98,37.232,Target Overlap,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
wild,outlier,hau,B16___02_2Timothy____HAUCLVN2DA_00029,a,d,SIL,1.59,1.62,359.75,2055.21,14.43,,,Change,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,e,foll: [j]
wild,outlier,hau,B19___07_Hebrews_____HAUCLVN2DA_00024,i,j,w,4.98,5.01,391.94,926.04,15.282,Broad,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,?seperated
wild,outlier,hau,B19___08_Hebrews_____HAUCLVN2DA_00015,i,t͡ʃ,k,1.56,1.59,678.97,1423.46,22.896,Target Overlap,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,,
wild,outlier,hau,B19___10_Hebrews_____HAUCLVN2DA_00043,a,n,ɸ,4.47,4.62,1027.36,1648.74,25.204,Target Overlap,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,?vowel change
wild,outlier,hau,B19___12_Hebrews_____HAUCLVN2DA_00020,a,m,k,5.46,5.49,419.9,885.76,14.598,,,Change,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,o,vowel in the following syllable is [o]
wild,outlier,hau,B20___02_James_______HAUCLVN2DA_00004,u,k,m,11.43,11.49,723.79,2216.87,60.414,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
wild,outlier,hau,B20___03_James_______HAUCLVN2DA_00030,i,a,k,1.59,1.62,180.65,1386.9,17.217,Target Overlap,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
wild,outlier,hau,B20___05_James_______HAUCLVN2DA_00014,a,j,k,3.66,3.75,361.84,2076.8,15.14,,,Change,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,e,prec: [j]
wild,outlier,hau,B20___05_James_______HAUCLVN2DA_00029,a,s,i,1.38,1.41,409.91,2069.94,13.828,Broad,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
wild,outlier,hau,B21___02_1Peter______HAUCLVN2DA_00044,u,ɽ,b,1.62,1.68,637.85,1719.66,28.274,Broad,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,
wild,outlier,hau,B22___03_2Peter______HAUCLVN2DA_00023,a,j,k,0.57,0.66,379.5,2169.82,18.403,,,Change,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,e,prec: [j]
wild,outlier,hau,B23___01_1John_______HAUCLVN2DA_00007,u,m,SIL,3.54,3.69,603.85,720.92,17.287,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,
wild,outlier,hau,B23___02_1John_______HAUCLVN2DA_00004,a,d,i,4.71,4.8,425.98,2103.53,14.886,,,Change,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,e,foll: [i] ([a] & [i] combined?)
wild,outlier,hau,B23___04_1John_______HAUCLVN2DA_00018,a,SIL,l,13.11,13.2,522.31,725.43,17.064,Broad,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
wild,outlier,hau,B24___01_2John_______HAUCLVN2DA_00015,a,j,ɽ,2.52,2.61,601.04,675.7,17.249,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,
wild,outlier,hau,B25___01_3John_______HAUCLVN2DA_00016,i,d,m,0.84,0.9,472.62,890.34,16.445,,,,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,,,beep gives false formant
wild,outlier,hau,B27___01_Revelation__HAUCLVN2DA_00014,u,d,k,0.45,0.51,1080.85,1765.83,180.384,Target Overlap,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
wild,outlier,hau,B27___04_Revelation__HAUCLVN2DA_00002,e,d,a,3.96,4.05,604.37,1572.29,14.386,Target Overlap,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
wild,outlier,hau,B27___11_Revelation__HAUCLVN2DA_00021,u,k,m,7.98,8.07,542.63,1853.6,16.464,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
wild,outlier,hau,B27___14_Revelation__HAUCLVN2DA_00031,a,n,n,0.18,0.21,420.35,645.94,25.837,Broad,,Change,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,ə,
wild,outlier,hau,B27___19_Revelation__HAUCLVN2DA_00009,i,a,d,0.39,0.42,1054,2071.41,125.728,Target Overlap,,Change,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,ɛ,prec: [a] ([a] & [i] combined?)
wild,outlier,hau,B27___20_Revelation__HAUCLVN2DA_00024,i,l,t,6.3,6.36,1363.91,2637.08,291.838,,,Deletion,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,,,
wild,outlier,kaz,B01___04_Matthew_____KAZKAZN2DA_00025,ɑ,SIL,j,11.61,12.3,601.83,1908.66,18.289,,Broad,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,
wild,outlier,kaz,B01___05_Matthew_____KAZKAZN2DA_00016,ə,t,SIL,1.68,1.8,966.62,1444.15,21.769,,Broad,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,
wild,outlier,kaz,B01___06_Matthew_____KAZKAZN2DA_00014,ɑ,ʀ,s,0.27,0.3,496.42,1806.47,15.714,,Broad,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,
wild,outlier,kaz,B01___09_Matthew_____KAZKAZN2DA_00002,ɑ,s,q,0.45,2.22,1455.93,2326.17,199.865,,Broad,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
wild,outlier,kaz,B01___09_Matthew_____KAZKAZN2DA_00036,ɑ,l,j,3.18,3.21,825.72,908.17,14.282,,Broad,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,
wild,outlier,kaz,B01___11_Matthew_____KAZKAZN2DA_00040,ɑ,d,SIL,8.97,9,476.3,1882.74,20.396,,Broad,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,
wild,outlier,kaz,B01___12_Matthew_____KAZKAZN2DA_00044,ʊ,w,s,0.84,0.87,966.9,2346.17,104.583,,Broad,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,,
wild,outlier,kaz,B01___13_Matthew_____KAZKAZN2DA_00016,ɑ,ʀ,i,4.44,4.5,427.01,1794.83,19.364,,Broad,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,
wild,outlier,kaz,B01___13_Matthew_____KAZKAZN2DA_00063,i,p,ɾ,7.11,7.17,615.61,1344.74,18.581,,Broad,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,,
wild,outlier,kaz,B01___15_Matthew_____KAZKAZN2DA_00026,ɑ,l,p,4.53,4.59,887.15,1187.62,17.104,,Broad,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,
wild,outlier,kaz,B01___15_Matthew_____KAZKAZN2DA_00057,ə,w,q,4.47,4.5,1005.23,1811.29,28.834,,Broad,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,
wild,outlier,kaz,B01___17_Matthew_____KAZKAZN2DA_00025,i,d,p,7.86,7.89,664.12,1407.12,26.805,,Broad,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,
wild,outlier,kaz,B01___18_Matthew_____KAZKAZN2DA_00046,æ,n,j,7.05,7.17,510.28,1047.93,24.527,,Broad,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,
wild,outlier,kaz,B01___20_Matthew_____KAZKAZN2DA_00043,ɑ,q,t,10.56,10.74,923.21,2173.71,56.437,,Broad,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,
wild,outlier,kaz,B01___21_Matthew_____KAZKAZN2DA_00025,ʊ,w,ɾ,5.64,5.67,1242.89,2285.59,189.343,,Broad,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,
wild,outlier,kaz,B01___21_Matthew_____KAZKAZN2DA_00062,i,ŋ,k,1.17,1.2,179.55,1630.24,30.258,,Broad,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,
