Dataset,Type,Lang,file,vowel,prec,foll,start,end,F1,F2,MD,Alignment,Transcript,Linguistic,Formant,Fine,BG Music?,BG Other?,Poor Audio?,Coartic?,Hi Voice,Describe,Notes
wild,outlier,kaz,B01___23_Matthew_____KAZKAZN2DA_00064,ɑ,l,d,3.06,3.09,807.38,1613.51,14.728,,Broad,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,
wild,outlier,kaz,B01___24_Matthew_____KAZKAZN2DA_00024,i,k,j,6,6.03,666.51,1507.32,27.636,Broad,Broad,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,
wild,outlier,kaz,B01___24_Matthew_____KAZKAZN2DA_00036,i,b,b,0.18,0.54,264.65,1543.39,16.633,,Broad,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,
wild,outlier,kaz,B01___24_Matthew_____KAZKAZN2DA_00045,ɑ,p,j,6.15,6.18,238.82,1395.35,29.216,Broad,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,
wild,outlier,kaz,B01___25_Matthew_____KAZKAZN2DA_00054,i,k,t,2.04,2.07,1488.86,2925.95,714.702,,Broad,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,
wild,outlier,kaz,B01___25_Matthew_____KAZKAZN2DA_00061,i,ŋ,SIL,4.05,4.14,235.52,1345.42,30.291,,Broad,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,
wild,outlier,kaz,B01___26_Matthew_____KAZKAZN2DA_00041,i,SIL,ʃ,2.64,2.67,1645.74,1954.51,745.04,,Broad,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,
wild,outlier,kaz,B01___26_Matthew_____KAZKAZN2DA_00109,ɑ,ɑ,l,3.21,3.24,304.44,1138.89,19.022,,Broad,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,
wild,outlier,kaz,B01___27_Matthew_____KAZKAZN2DA_00016,ə,SIL,j,1.05,1.08,1003.81,1776.05,28.162,,Broad,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,
wild,outlier,kaz,B02___01_Mark________KAZKAZN2DA_00049,ə,ʒ,n,0.69,0.72,902.64,2127.77,27.33,,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,,what happened here
wild,outlier,kaz,B02___01_Mark________KAZKAZN2DA_00049,ɑ,n,d,3.93,3.96,389.81,1914.29,28.303,,Broad,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,can't find alignment,
wild,outlier,kaz,B02___01_Mark________KAZKAZN2DA_00050,ɑ,d,SIL,0.36,0.42,312.55,1442.74,19.764,,Broad,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,can't find alignment,
wild,outlier,kaz,B02___04_Mark________KAZKAZN2DA_00014,i,b,ɾ,9.96,9.99,837.5,1170.87,73.017,,Broad,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,can't find alignment,
wild,outlier,kaz,B02___04_Mark________KAZKAZN2DA_00033,ɑ,j,SIL,11.91,12.18,273.89,1193.12,22.857,,Broad,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,can't find alignment,
wild,outlier,kaz,B02___06_Mark________KAZKAZN2DA_00056,i,SIL,l,1.05,1.08,613.19,703.98,35.769,,Broad,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,can't find alignment,
wild,outlier,kaz,B02___11_Mark________KAZKAZN2DA_00034,æ,ʃ,k,1.32,1.35,343.97,1523.74,14.752,,Broad,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,can't find alignment,
wild,outlier,kaz,B02___14_Mark________KAZKAZN2DA_00031,ʉ,l,j,5.55,5.58,586.09,1447.13,16.215,,X Transcript,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,no phones apparent
wild,outlier,kaz,B02___14_Mark________KAZKAZN2DA_00042,i,n,SIL,10.92,11.01,424.74,1148.22,14.218,,Broad,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,can't find alignment,
wild,outlier,kaz,B02___14_Mark________KAZKAZN2DA_00044,ə,d,SIL,3.6,3.78,1562.75,2977.4,142.14,,X Transcript,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,no phones apparent
wild,outlier,kaz,B02___15_Mark________KAZKAZN2DA_00059,ɑ,s,b,0.51,0.54,341.7,1415.66,15.921,,X Transcript,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,no phones apparent
wild,outlier,kaz,B02___16_Mark________KAZKAZN2DA_00002,ɑ,d,j,9.93,9.96,414.5,1778.57,19.619,,Broad,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,can't find alignment,
wild,outlier,kaz,B02___16_Mark________KAZKAZN2DA_00021,ɑ,SIL,q,0.03,0.06,500.19,1889.61,19.579,,Broad,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,can't find alignment,
wild,outlier,kaz,B03___03_Luke________KAZKAZN2DA_00031,i,SIL,t,3.15,3.36,952.42,1895.36,146.064,,Broad,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,can't find alignment,
wild,outlier,kaz,B03___05_Luke________KAZKAZN2DA_00028,æ,d,l,9.63,9.66,686.45,948.41,27.407,,X Transcript,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,no phones apparent
wild,outlier,kaz,B03___06_Luke________KAZKAZN2DA_00046,i,d,ɾ,3.3,3.33,1058.61,2321.87,242.637,,X Transcript,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,no phones apparent
wild,outlier,kaz,B03___08_Luke________KAZKAZN2DA_00028,ə,ɾ,q,3.99,4.05,909.97,1384.98,17.164,,Broad,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,can't find alignment,
wild,outlier,kaz,B03___09_Luke________KAZKAZN2DA_00054,ə,k,j,3.93,3.96,1212.97,2391.1,65.055,,Broad,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,can't find alignment,
wild,outlier,kaz,B03___09_Luke________KAZKAZN2DA_00055,ʊ,m,s,5.97,6,841.31,2177.93,67.048,,Broad,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,can't find alignment,
wild,outlier,kaz,B03___12_Luke________KAZKAZN2DA_00054,æ,SIL,d,5.07,5.19,532.23,885.3,37.267,,Broad,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,can't find alignment,
wild,outlier,kaz,B03___14_Luke________KAZKAZN2DA_00007,ə,ʒ,j,1.11,1.14,309.8,2348.95,18.994,,Broad,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,can't find alignment,
wild,outlier,kaz,B03___15_Luke________KAZKAZN2DA_00019,ə,d,ŋ,0.18,0.21,906.38,1396.27,16.935,,Broad,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,can't find alignment,
wild,outlier,kaz,B03___15_Luke________KAZKAZN2DA_00032,i,k,m,0.12,0.15,258.56,1312.84,27.243,,Broad,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,can't find alignment,
wild,outlier,kaz,B03___16_Luke________KAZKAZN2DA_00025,ɑ,b,j,1.83,1.86,353.08,1036.54,14.415,,Broad,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,can't find alignment,
wild,outlier,kaz,B03___16_Luke________KAZKAZN2DA_00033,i,j,w,9.87,9.9,474.98,1031,17.256,,Broad,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,can't find alignment,
wild,outlier,kaz,B03___17_Luke________KAZKAZN2DA_00030,ʊ,w,l,5.4,5.43,680.38,2069.88,36.969,Broad,,,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,,,
wild,outlier,kaz,B03___17_Luke________KAZKAZN2DA_00052,i,n,t,2.85,2.88,567.21,1040.97,19.326,,Broad,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,can't find alignment,
wild,outlier,kaz,B03___19_Luke________KAZKAZN2DA_00058,ɑ,d,SIL,7.92,7.95,833.27,1848.67,26.311,,X Transcript,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,no phones apparent
wild,outlier,kaz,B03___22_Luke________KAZKAZN2DA_00057,i,d,SIL,2.88,3.54,837.84,1891.48,91.907,Broad,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
wild,outlier,kaz,B03___24_Luke________KAZKAZN2DA_00010,ə,b,j,1.02,1.05,1012.29,2240.34,39.263,,Broad,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,can't find alignment,
wild,outlier,kaz,B03___24_Luke________KAZKAZN2DA_00019,ɑ,t,n,1.23,1.32,884.48,1141.12,16.995,,Broad,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,can't find alignment,
wild,outlier,kaz,B04___06_John________KAZKAZN2DA_00055,i,k,m,4.56,4.59,329.99,796.55,44.746,,Broad,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,can't find alignment,
wild,outlier,kaz,B04___07_John________KAZKAZN2DA_00039,ɑ,ʀ,n,9.3,9.33,353.36,1962.9,34.589,,Broad,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,can't find alignment,
wild,outlier,kaz,B04___08_John________KAZKAZN2DA_00022,i,SIL,ɾ,2.85,2.94,639.96,997.27,28.035,Broad,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
wild,outlier,kaz,B04___08_John________KAZKAZN2DA_00076,i,SIL,d,6.33,6.6,1076.69,1413.57,190.342,,X Transcript,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,no phones apparent
wild,outlier,kaz,B04___10_John________KAZKAZN2DA_00023,ə,t,s,3.69,3.72,812.1,1769.36,14.14,,Broad,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,can't find alignment,
wild,outlier,kaz,B04___10_John________KAZKAZN2DA_00025,ɑ,ɾ,q,1.8,1.83,881.94,1423.54,17.986,,Broad,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,can't find alignment,
wild,outlier,kaz,B04___10_John________KAZKAZN2DA_00040,i,ə,ʃ,3.18,3.21,572.32,1144.92,16.814,Broad,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,
wild,outlier,kaz,B04___17_John________KAZKAZN2DA_00021,ə,ʀ,ʃ,5.94,5.97,853.48,1811.03,17.303,,Broad,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,can't find alignment,
wild,outlier,kaz,B04___18_John________KAZKAZN2DA_00029,ə,SIL,j,6.9,6.93,1564.84,1859.99,103.364,Broad,,Change,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,[a],
wild,outlier,kaz,B04___18_John________KAZKAZN2DA_00034,ʉ,k,n,6.51,6.54,937,2204.7,150.654,,Broad,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,can't find alignment,
wild,outlier,kaz,B04___18_John________KAZKAZN2DA_00049,i,m,s,3.51,3.6,583.83,995.33,22.036,,Broad,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,can't find alignment,
wild,outlier,kaz,B04___20_John________KAZKAZN2DA_00038,ɑ,q,t,6.96,6.99,288.8,1124.39,21.136,Broad,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,
wild,outlier,kaz,B05___01_Acts________KAZKAZN2DA_00021,ə,SIL,j,4.02,4.08,223.16,2308.13,20.101,Broad,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,prec:[k],
wild,outlier,kaz,B05___04_Acts________KAZKAZN2DA_00006,ə,SIL,j,5.34,5.37,288.31,2401.75,21.292,,Broad,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,can't find alignment,
wild,outlier,kaz,B05___08_Acts________KAZKAZN2DA_00036,ɑ,ʀ,m,4.11,4.14,309.42,898.47,22.057,,Broad,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,can't find alignment,
wild,outlier,kaz,B05___09_Acts________KAZKAZN2DA_00017,ə,SIL,j,5.7,5.76,282.31,2531.87,26.261,,Broad,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,can't find alignment,
wild,outlier,kaz,B05___13_Acts________KAZKAZN2DA_00010,i,n,ʃ,9.72,9.78,1131.31,2241.47,285.774,Target Overlap,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,
wild,outlier,kaz,B05___15_Acts________KAZKAZN2DA_00004,ʊ,w,d,3.69,3.72,151.18,722.61,24.729,,X Transcript,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,no phones apparent
wild,outlier,kaz,B05___16_Acts________KAZKAZN2DA_00017,ɑ,t,s,5.34,5.4,282.48,1036.63,22.896,,Broad,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,can't find alignment,
wild,outlier,kaz,B05___17_Acts________KAZKAZN2DA_00020,ɑ,d,s,3.9,3.96,292.24,1224.06,20.363,,Broad,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,can't find alignment,
wild,outlier,kaz,B05___18_Acts________KAZKAZN2DA_00003,ə,d,j,3.03,3.06,252.05,2244.2,17.173,,X Transcript,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,no phones apparent
wild,outlier,kaz,B05___19_Acts________KAZKAZN2DA_00034,ə,k,j,2.28,2.31,227.11,2105.07,14.107,,X Transcript,,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,,,
wild,outlier,kaz,B05___21_Acts________KAZKAZN2DA_00044,ɑ,SIL,ɾ,12.78,13.02,1006.42,1881.73,51.007,,Broad,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,can't find alignment,
wild,outlier,kaz,B05___27_Acts________KAZKAZN2DA_00005,ɑ,ɾ,j,1.11,1.17,341.66,2058.6,41.713,,Broad,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,can't find alignment,
wild,outlier,kaz,B05___28_Acts________KAZKAZN2DA_00030,ɑ,ʒ,z,27.96,27.99,608.03,2194.33,36.596,,Broad,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,can't find alignment,
wild,outlier,kaz,B05___28_Acts________KAZKAZN2DA_00033,ɑ,SIL,t,4.65,4.92,335.18,1640.66,22.054,,X Transcript,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,no phones apparent
wild,outlier,kaz,B06___05_James_______KAZKAZN2DA_00022,ʉ,k,ʃ,2.73,2.76,1791.24,2864.52,889.308,,Broad,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,can't find alignment,
wild,outlier,kaz,B13___02_Romans______KAZKAZN2DA_00020,ə,SIL,j,7.95,8.01,281,2213.47,15.452,,X Transcript,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,no phones apparent
wild,outlier,kaz,B13___03_Romans______KAZKAZN2DA_00033,ʊ,ə,s,4.11,4.14,417.8,2007.07,20.699,,Broad,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,can't find alignment,
wild,outlier,kaz,B13___14_Romans______KAZKAZN2DA_00009,i,d,SIL,5.13,5.28,512.63,2272.69,15.302,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,prec:[dʒ],
wild,outlier,kaz,B13___16_Romans______KAZKAZN2DA_00006,ʉ,n,ʃ,1.11,1.14,655.05,1709.77,34.048,,Broad,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,can't find alignment,
wild,outlier,kaz,B14___03_1CorinthiansKAZKAZN2DA_00026,ʊ,n,s,9.6,9.63,1148.76,3297.9,237.309,,Broad,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,can't find alignment,
wild,outlier,kaz,B14___06_1CorinthiansKAZKAZN2DA_00033,ʉ,SIL,j,4.8,4.92,1837.56,2680.51,917.476,,Broad,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,can't find alignment,
wild,outlier,kaz,B14___14_1CorinthiansKAZKAZN2DA_00048,ə,s,j,8.97,9,1163.73,2623.32,68.142,,X Transcript,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,no phones apparent
wild,outlier,kaz,B15___05_2CorinthiansKAZKAZN2DA_00013,i,t,ɾ,2.46,2.55,513.57,2262.23,15.084,,Broad,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,can't find alignment,
wild,outlier,kaz,B15___05_2CorinthiansKAZKAZN2DA_00024,ɑ,d,j,0.18,0.21,412.32,1850.14,23.086,Broad,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,no phones apparent
wild,outlier,kaz,B15___11_2CorinthiansKAZKAZN2DA_00027,ʉ,SIL,ʃ,11.46,11.49,1157.83,1736.85,239.141,,X Transcript,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,
wild,outlier,kaz,B17___01_Ephesians___KAZKAZN2DA_00022,i,ɡ,ɥ,6.57,6.72,386.2,1163.47,16.277,,Broad,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,foll:[ɾ],
wild,outlier,kaz,B18___01_Philippians_KAZKAZN2DA_00015,ʉ,m,ʃ,8.04,8.07,1692.86,2752.8,768.285,,Broad,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,can't find alignment,
wild,outlier,kaz,B24___03_Titus_______KAZKAZN2DA_00016,ə,SIL,j,8.67,8.79,554.19,2252.92,15.409,,Broad,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,can't find alignment,
wild,outlier,kaz,B27___01_Revelation__KAZKAZN2DA_00025,ɑ,p,q,3.48,3.51,327.2,1577.23,21.053,Target Overlap,,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,,bell clanging at this vowel
wild,outlier,kaz,B27___13_Revelation__KAZKAZN2DA_00015,ʊ,m,n,4.47,4.53,714,2470.85,63.481,,X Transcript,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,no phones apparent
wild,outlier,kaz,B27___17_Revelation__KAZKAZN2DA_00009,ʊ,q,d,0.87,0.93,563,1887.32,19.147,Broad,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,,
wild,outlier,kaz,B27___18_Revelation__KAZKAZN2DA_00026,ʊ,w,ʃ,12.36,12.39,1021.44,1819.14,93.321,,Broad,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,can't find alignment,
wild,outlier,swe,B01___01_Matthew_____SWESFVN2DA_00008,ʉː,r,SIL,4.83,4.92,988.88,2427.65,306.537,Target Overlap,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,
wild,outlier,swe,B01___02_Matthew_____SWESFVN2DA_00011,ɛ,oː,r,6.63,6.66,1298.79,2118.77,108.28,,X Sounds,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,foll:[ʃ],
wild,outlier,swe,B01___08_Matthew_____SWESFVN2DA_00043,øː,SIL,n,15.03,15.27,303.97,2192.08,19.231,,Broad,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
wild,outlier,swe,B01___09_Matthew_____SWESFVN2DA_00068,œ,r,r,0.6,0.63,894.54,1263.55,83.64,,Broad,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,
wild,outlier,swe,B01___09_Matthew_____SWESFVN2DA_00070,ɔ,SIL,SIL,1.44,1.74,606.71,1332.65,26.067,,Broad,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,
wild,outlier,swe,B01___14_Matthew_____SWESFVN2DA_00034,ɪ,f,ɐ,2.22,2.31,634.91,1901.32,68.714,Target Overlap,X Sounds,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,foll:[sk],
wild,outlier,swe,B01___14_Matthew_____SWESFVN2DA_00049,iː,m,ɡ,3.33,3.36,413.94,1193.86,19.534,,Broad,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,
wild,outlier,swe,B01___15_Matthew_____SWESFVN2DA_00028,eː,p,n,4.14,4.17,788.49,1889.3,50.061,Broad,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,
wild,outlier,swe,B01___15_Matthew_____SWESFVN2DA_00050,eː,d,SIL,0.81,0.84,1110.51,2216.06,148.578,Broad,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,
wild,outlier,swe,B01___24_Matthew_____SWESFVN2DA_00049,ɪ,n,uː,7.23,7.32,1365.14,2369.89,714.863,Target Overlap,X Sounds,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,prec:[ʃ],
wild,outlier,swe,B01___25_Matthew_____SWESFVN2DA_00028,ɔ,t,j,2.88,2.91,312.67,1781.66,18.6,Broad,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,
wild,outlier,swe,B01___26_Matthew_____SWESFVN2DA_00014,øː,f,r,1.26,1.32,419.64,769.72,20.894,Broad,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,
wild,outlier,swe,B01___26_Matthew_____SWESFVN2DA_00079,eː,d,t,0.51,0.54,999.95,1894.23,109.997,,Broad,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,
wild,outlier,swe,B01___26_Matthew_____SWESFVN2DA_00079,iː,m,ɡ,7.92,7.95,628.76,1129.52,71.165,,Broad,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,,
wild,outlier,swe,B01___27_Matthew_____SWESFVN2DA_00029,ʏ,r,k,1.92,1.95,677.79,1447.43,93.672,,Broad,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,,
wild,outlier,swe,B01___28_Matthew_____SWESFVN2DA_00031,iː,d,t,4.41,4.56,638.06,1535.05,62.082,,Broad,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,
wild,outlier,swe,B02___02_Mark________SWESFVN2DA_00017,ɐ,t,s,0.36,0.39,355.28,2118.53,50.98,,Broad,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,,
wild,outlier,swe,B02___10_Mark________SWESFVN2DA_00035,ɑː,ʉː,ɪ,0.81,0.99,1461.36,2087.14,111.667,,X Sounds,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,prec:[sk],
wild,outlier,swe,B02___10_Mark________SWESFVN2DA_00036,ʉː,d,ɑː,0.87,0.93,1660.9,3185.38,1200.947,Target Overlap,X Sounds,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,foll:[sk],
wild,outlier,swe,B02___14_Mark________SWESFVN2DA_00009,ɔ,SIL,j,3.39,3.45,357.83,2319.92,51.305,,,,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,,foll:[j],
wild,outlier,swe,B02___14_Mark________SWESFVN2DA_00019,ɛ,v,r,1.5,1.53,400.99,764.01,21.468,,Broad,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,
wild,outlier,swe,B02___15_Mark________SWESFVN2DA_00034,uː,h,n,7.92,8.16,444.98,2139.91,38.874,,Broad,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,
wild,outlier,swe,B02___16_Mark________SWESFVN2DA_00024,oː,l,ɡ,5.82,5.85,1401.31,2073.31,556.552,,Broad,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,
wild,outlier,swe,B03___01_Luke________SWESFVN2DA_00012,uː,f,l,2.49,2.55,485.52,2167.69,46.174,,,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,[ʊ],formant issue
wild,outlier,swe,B03___02_Luke________SWESFVN2DA_00042,ɪ,d,t,9.06,9.15,459.33,1568.31,17.436,,Broad,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,
wild,outlier,swe,B03___05_Luke________SWESFVN2DA_00037,ɛ,h,r,1.62,1.65,936.23,1782.5,39.281,,Broad,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,
wild,outlier,swe,B03___08_Luke________SWESFVN2DA_00040,ɔ,n,SIL,4.83,4.86,866.2,1812.89,117,,Broad,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,
wild,outlier,swe,B03___08_Luke________SWESFVN2DA_00069,ɔ,d,SIL,5.7,5.76,749.77,2011.62,93.793,,Broad,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,
wild,outlier,swe,B03___10_Luke________SWESFVN2DA_00043,ɛː,n,r,0.57,0.6,1064.57,1908.27,70.398,,Broad,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,
wild,outlier,swe,B03___11_Luke________SWESFVN2DA_00013,ɐ,n,t,3.42,3.48,1124.64,2252.43,95.4,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
wild,outlier,swe,B03___14_Luke________SWESFVN2DA_00024,eː,d,SIL,3.66,5.34,721.63,1796.4,36.36,,Broad,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,
